departement,annee,sau,part_sau,exploitations,sau_m_ha
64,2020,322742.84,41.87,9784,32.99
65,1970,142474,31.41,12961,10.99
65,1979,139792,30.82,10657,13.12
65,1988,133104,29.34,8828,15.08
65,2000,130944,28.87,6410,20.43
65,2010,127241,28.05,5155,24.68
65,2020,126521.19,27.89,4033,31.37
66,1970,111568,26.82,19180,5.82
66,1979,101967,24.51,14700,6.94
66,1988,97203,23.36,11873,8.19
66,2000,92618,22.26,6902,13.42
66,2010,74699,17.96,4146,18.02
66,2020,68020.85,16.35,3227,21.08
67,1970,195451,40.72,20948,9.33
67,1979,194010,40.42,16322,11.89
67,1988,193100,40.23,13082,14.76
67,2000,196491,40.94,8304,23.66
67,2010,197418,41.13,6572,30.04
67,2020,196213.2,40.88,4888,40.14
68,1970,140455,39.78,14363,9.78
68,1979,137273,38.88,11353,12.09
68,1988,136245,38.58,9451,14.42
68,2000,139738,39.57,6790,20.58
68,2010,139219,39.43,5442,25.58
68,2020,135444.9,38.36,4125,32.84
69,1970,177869,54.6,16344,10.88
69,1979,174750,53.65,14044,12.44
69,1988,163698,50.25,11315,14.47
69,2000,149977,46.04,8363,17.93
69,2010,138649,42.56,5948,23.31
69,2020,136947.85,42.04,4527,30.25
70,1970,250197,46.44,9701,25.79
70,1979,245568,45.58,7542,32.56
70,1988,240798,44.69,5893,40.86
70,2000,237824,44.14,3726,63.83
70,2010,233892,43.41,2792,83.77
70,2020,235314.32,43.68,2029,115.98
71,1970,559093,64.94,28446,19.65
71,1979,544452,63.23,20310,26.81
71,1988,534886,62.12,15991,33.45
71,2000,524510,60.92,10733,48.87
71,2010,517453,60.1,7689,67.3
71,2020,512690.05,59.55,6079,84.34
72,1970,454961,72.85,23563,19.31
72,1979,443809,71.06,18049,24.59
72,1988,420561,67.34,13900,30.26
72,2000,387827,62.1,7993,48.52
72,2010,369117,59.1,5310,69.51
72,2020,366358.52,58.66,4260,86
73,1970,111274,17.74,13721,8.11
73,1979,116902,18.64,10782,10.84
73,1988,107532,17.15,7312,14.71
73,2000,115343,18.39,4305,26.79
73,2010,116384,18.56,2747,42.37
73,2020,128018.25,20.41,2009,63.72
74,1970,153367,33.31,12671,12.1
74,1979,147907,32.13,10111,14.63
74,1988,140761,30.57,7947,17.71
74,2000,137490,29.86,5092,27
74,2010,125299,27.22,3120,40.16
74,2020,125389.81,27.24,2323,53.98
75,1970,532,5.04,32,16.62
75,1979,NA,NA,NA,NA
75,1988,NA,NA,NA,NA
75,2000,NA,NA,NA,NA
75,2010,NA,NA,NA,NA
75,2020,1.01,0.01,8,0.13
76,1970,444268,70.16,22533,19.72
76,1979,430558,68,17055,25.25
76,1988,424204,66.99,13572,31.26
76,2000,408561,64.52,8545,47.81
76,2010,397416,62.76,6471,61.41
76,2020,391264.31,61.79,4795,81.6
77,1970,363644,61.33,5642,64.45
77,1979,354133,59.73,5103,69.4
77,1988,345472,58.27,4376,78.95
77,2000,342630,57.79,3242,105.68
77,2010,335860,56.65,2638,127.32
77,2020,334608.73,56.44,2364,141.54
78,1970,105830,45.86,3146,33.64
78,1979,98763,42.79,2508,39.38
78,1988,94591,40.99,2050,46.14
78,2000,91045,39.45,1271,71.63
78,2010,89134,38.62,948,94.02
78,2020,89291.45,38.69,807,110.65
79,1970,485729,80.45,23034,21.09
79,1979,481088,79.68,18334,26.24
79,1988,471815,78.15,14778,31.93
79,2000,462300,76.57,9097,50.82
79,2010,450285,74.58,6439,69.93
79,2020,445790.46,73.84,4996,89.23
80,1970,483573,77.87,14551,33.23
80,1979,481806,77.59,12045,40
80,1988,476584,76.75,9867,48.3
80,2000,471284,75.89,6744,69.88
80,2010,465287,74.93,5436,85.59
80,2020,459592.01,74.01,4554,100.92
81,1970,338271,58.38,17608,19.21
81,1979,334285,57.69,14112,23.69
81,1988,327290,56.48,12042,27.18
81,2000,310642,53.61,7674,40.48
81,2010,298095,51.44,6087,48.97
81,2020,296903.21,51.24,5032,59
82,1970,253773,67.91,14823,17.12
82,1979,238526,63.83,12113,19.69
82,1988,228908,61.25,10099,22.67
82,2000,224181,59.99,7249,30.93
82,2010,210401,56.3,5283,39.83
82,2020,207643.38,55.56,4327,47.99
83,1970,99395,16.43,19069,5.21
83,1979,84816,14.02,13999,6.06
83,1988,85052,14.06,11136,7.64
83,2000,85214,14.08,7579,11.24
83,2010,66584,11,5422,12.28
83,2020,77785.24,12.86,4391,17.71
84,1970,144189,40.22,15042,9.59
84,1979,141615,39.51,12867,11.01
84,1988,131694,36.74,10463,12.59
84,2000,123056,34.33,7832,15.71
84,2010,111218,31.03,5923,18.78
84,2020,112888.06,31.49,4860,23.23
85,1970,549151,81.11,31390,17.49
85,1979,534551,78.95,23835,22.43
