code,nb_exp,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
46,22156,3753,94,4374,307,5479,223,6408,501,7094,6257,7495,706,8472,6909,9435,9861,13051,6872,15537,4652,17454,2018,18661,3505,22586,4549,25864,7078,28175,502,30316,06879
47,41858,5154,496,5103,6206,6125,8483,6457,622,7384,066,8636,5495,9077,6867,10435,4341,20042,6471,23703,4773,27404,8499,29176,3876,34878,2798,39083,6483,43849,155,43239,19811
48,18520,7668,873,9891,473,12238,7807,14954,5609,16265,2397,16972,981,17332,6479,17556,6846,24915,2738,35880,025,41685,1557,43431,4416,45099,4721,46836,5666,50397,4726,52186,85279
49,51513,14432,0028,15566,3541,16050,5545,20427,2243,23100,2082,24913,264,24624,9599,27036,5194,29651,1493,36407,788,40136,4553,44551,3605,50310,5637,55623,4487,59422,7492,61225,82993
50,22352,7821,8254,8093,298,9921,0534,10135,5145,13440,4949,14697,596,14989,1782,15961,323,17372,6891,22360,0941,25383,0894,28883,4812,32043,1505,35418,403,38591,6019,39041,08752
51,11037,1498,726,1387,095,1612,9511,3038,3672,3519,0937,3512,467,3841,5864,4674,0293,5599,5113,6426,6444,7001,2395,9006,9535,10837,793,14230,8748,16522,52,18545,28432
52,9122,1954,432,2378,237,3300,401,4733,433,5267,83,5889,576,5766,136,5955,5335,7536,182,8999,992,8971,162,16327,659,19580,542,24932,7876,28852,9025,29687,57485
53,23888,7496,755,7770,085,9250,3503,10231,7612,11961,685,12693,584,12845,972,13385,327,14409,4502,17597,5724,21039,3251,24178,1503,28628,2628,31726,7085,34155,6244,34055,39922
54,13495,2981,937,3005,698,3156,261,4217,869,5076,845,5303,5519,6004,7615,6506,9565,10720,3773,13972,5203,14599,964,17459,8921,23105,9784,28258,2814,30321,6524,31545,86416
55,9993,2724,878,2794,026,3129,918,4468,142,5368,153,5650,778,5991,8325,6504,5375,7648,307,9153,203,10370,433,10995,2208,15530,3833,18002,1123,21641,3103,22386,23874
56,36446,9101,352,9594,315,10724,547,14157,6136,14973,581,15356,3593,16691,255,17484,9752,18433,8018,23412,5418,26811,02,30593,5721,34571,978,36755,2909,39298,2819,39022,77281
57,15333,5046,997,5006,579,5651,361,9552,705,10866,849,11581,523,11032,863,12535,437,13490,887,19339,1507,22196,106,22741,536,24349,1215,30386,2232,31424,188,32073,84954
58,12662,5906,072,6312,186,6780,961,8654,489,9296,1019,9741,179,9260,4134,9300,7465,11057,5634,13000,0191,15141,2271,17547,9451,20956,3611,23957,2676,28067,1461,29186,72529
59,13612,1807,6799,1842,308,2530,103,3278,335,4275,1854,4278,656,4215,553,4651,6391,6219,6041,8430,3226,10534,932,11533,563,12754,6612,14251,7685,15669,5254,16457,43456
60,9222,2843,239,2971,891,4101,479,3548,969,4442,233,4784,103,4944,103,5149,78,5245,67,6950,7868,7563,4451,9783,8451,12376,8491,13490,9912,15282,6668,15327,97463
61,19869,10759,404,11264,305,13252,5393,14556,297,17615,8865,18056,639,18406,6354,19181,3731,21941,1789,23757,3703,26175,924,28444,0331,31176,1494,33786,4056,35431,8696,36414,24298
62,11965,1663,368,1679,745,2215,005,2715,193,3116,42,3451,608,3048,073,2891,451,2887,7196,3551,1366,4628,9666,5212,5576,6060,6486,8025,4586,9191,3716,9773,089812
63,20887,5816,724,5971,892,6983,926,9556,649,13183,716,10083,683,10224,7616,10611,984,11723,0189,17190,8465,20722,4712,22784,1719,23809,9107,25855,9517,27805,8094,29894,63421
